Frame Number,Total non-masked faces,Total masked faces,Non-masked Face ROIs,Masked Face ROIs
1,0,0,,
2,0,0,,
3,0,0,,
4,1,0,"360,44,37,39",
5,1,0,"360,44,37,39",
6,1,0,"360,44,37,39",
7,1,0,"360,44,37,39",
8,1,0,"360,45,37,39",
9,1,0,"360,45,37,39",
10,2,1,"290,41,32,36;360,45,37,39","371,80,39,42"
11,2,1,"290,41,32,36;360,45,37,39","372,80,39,42"
12,2,0,"290,41,32,36;359,45,38,40",
13,2,0,"290,41,32,36;359,45,38,40",
14,2,0,"290,41,33,36;359,45,38,40",
15,2,0,"291,42,32,35;359,45,38,42",
16,1,0,"358,46,40,43",
17,1,0,"359,45,38,42",
18,1,0,"359,46,38,41",
19,1,0,"359,46,38,41",
20,1,0,"359,47,39,41",
21,1,0,"360,48,38,42",
22,0,0,,
23,0,0,,
24,0,0,,
25,0,0,,
26,1,0,"125,70,39,41",
27,1,0,"125,69,38,42",
28,1,0,"125,69,39,42",
29,1,0,"126,70,38,41",
30,1,0,"125,70,39,41",
31,1,0,"126,70,38,41",
32,1,0,"126,69,38,41",
33,1,0,"126,69,38,41",
34,1,0,"126,69,38,41",
35,1,0,"126,69,38,41",
36,1,0,"126,69,37,40",
37,1,0,"125,69,38,40",
38,1,0,"125,69,38,40",
39,1,0,"125,69,38,40",
40,1,0,"125,69,38,40",
41,1,0,"125,69,38,40",
42,1,0,"126,69,37,40",
43,0,0,,
44,0,0,,
45,0,0,,
46,0,0,,
47,0,0,,
48,0,0,,
49,0,0,,
50,0,0,,
51,0,0,,
52,0,1,,"376,86,39,42"
53,0,1,,"376,86,39,42"
54,0,1,,"376,86,39,42"
55,0,1,,"376,86,39,42"
56,0,1,,"376,86,39,42"
57,0,1,,"376,86,39,42"
58,1,1,"356,46,40,43","375,85,40,43"
59,1,0,"357,46,38,42",
60,1,0,"357,46,39,42",
61,1,0,"356,44,39,42",
62,0,0,,
63,0,0,,
64,0,0,,
65,1,0,"120,73,40,43",
66,1,0,"120,73,40,43",
67,1,0,"120,73,39,43",
68,1,0,"119,73,40,42",
69,1,0,"119,72,40,43",
70,1,0,"118,72,41,43",
71,1,0,"118,72,40,43",
72,1,0,"118,72,40,43",
73,1,0,"118,72,40,43",
74,1,0,"117,72,40,44",
75,1,0,"117,72,40,43",
76,1,0,"117,72,40,44",
77,1,0,"117,72,40,44",
78,1,0,"117,72,40,43",
79,1,0,"117,72,40,43",
80,1,0,"117,72,40,43",
81,1,0,"117,72,40,43",
82,1,0,"117,72,39,43",
83,2,0,"379,81,38,43;117,72,39,42",
84,2,0,"379,82,38,43;117,72,39,42",
85,2,0,"379,82,38,43;117,72,39,42",
86,1,0,"118,72,39,42",
87,1,0,"118,72,38,42",
88,1,0,"118,71,39,42",
89,1,0,"118,71,39,42",
90,1,0,"118,70,39,43",
91,1,0,"118,70,39,43",
92,1,0,"118,70,39,43",
93,1,0,"118,70,39,43",
