Frame Number,Total non-masked faces,Total masked faces,Non-masked Face ROIs,Masked Face ROIs
1,1,0,"279,95,68,76",
2,1,0,"285,91,64,72",
3,1,0,"288,90,61,70",
4,3,1,"13,109,79,94;116,77,51,57;288,91,60,67","44,63,41,44"
5,3,1,"15,112,76,90;115,77,51,57;289,91,58,66","45,64,40,43"
6,3,1,"14,114,74,86;115,77,51,57;288,92,57,64","44,64,41,44"
7,4,1,"357,100,59,109;15,115,73,86;114,78,52,56;290,93,55,63","44,64,41,45"
8,4,1,"356,102,60,111;15,116,73,85;114,78,51,57;289,93,55,63","44,65,41,44"
9,4,1,"354,104,62,111;14,116,73,86;113,77,52,58;289,94,54,62","44,64,41,45"
10,5,1,"72,102,41,50;353,106,63,112;12,116,74,86;113,78,51,57;289,94,54,61","43,64,42,46"
11,5,1,"71,102,41,50;351,108,65,112;11,116,75,87;113,79,51,56;288,93,54,62","43,64,42,47"
12,5,1,"71,102,41,50;350,109,66,113;9,118,75,87;113,79,51,56;289,93,53,62","43,65,43,47"
13,5,1,"70,102,42,50;349,113,67,112;9,117,75,89;112,78,51,57;287,93,53,61","43,66,42,46"
14,5,1,"70,102,42,50;348,116,68,111;8,117,76,89;111,78,51,57;286,93,53,61","43,66,42,47"
15,5,1,"70,102,42,49;347,120,69,110;9,119,75,88;110,79,52,57;286,93,53,61","43,66,43,47"
16,5,0,"70,102,41,49;345,121,71,111;8,120,76,89;109,79,52,58;286,93,53,60",
17,5,0,"70,102,41,48;343,121,72,112;8,121,75,89;108,80,52,57;286,93,52,60",
18,5,0,"71,103,40,47;341,123,74,112;7,122,76,88;107,80,52,58;286,92,52,60",
19,5,0,"70,103,41,47;340,126,76,110;6,122,76,88;107,80,52,58;285,91,52,60",
20,3,0,"5,121,76,90;106,81,52,58;284,90,53,60",
21,3,0,"4,122,75,89;106,82,52,58;283,90,53,60",
22,3,0,"4,123,74,88;105,82,53,58;282,90,53,61",
23,3,0,"3,124,73,87;104,82,52,59;282,89,52,61",
24,3,0,"3,125,72,87;103,82,52,59;282,88,53,61",
25,3,0,"3,124,71,87;102,83,52,59;281,89,52,60",
26,4,0,"70,103,39,46;3,124,73,89;101,83,53,60;280,88,53,61",
27,4,0,"70,104,39,44;2,123,73,90;101,84,52,59;278,86,52,60",
28,3,0,"70,104,39,44;1,124,70,87;100,84,52,59",
29,2,1,"1,124,70,85;99,85,53,59","48,68,40,45"
30,1,1,"99,85,53,59","48,68,40,45"
31,1,1,"97,85,54,60","48,67,40,45"
32,1,1,"96,85,53,60","48,67,41,45"
33,1,1,"95,86,53,60","49,67,40,45"
34,1,1,"94,87,53,59","49,66,40,46"
35,1,1,"93,87,53,59","49,66,41,46"
36,1,1,"93,87,53,59","49,66,41,46"
37,1,1,"93,87,52,59","49,66,41,46"
38,1,1,"91,88,53,59","50,66,40,45"
39,1,1,"90,88,53,59","50,65,40,46"
40,1,1,"89,88,53,59","50,65,40,45"
41,1,1,"88,88,53,59","50,65,41,45"
42,1,1,"87,87,53,60","51,65,40,45"
43,1,1,"86,87,53,60","50,64,41,46"
44,1,1,"84,88,54,59","50,65,41,46"
45,1,1,"83,87,53,59","50,65,41,46"
46,1,1,"82,87,54,60","50,64,41,46"
47,1,1,"82,87,54,60","50,64,41,46"
48,1,1,"79,87,54,60","50,63,42,47"
49,0,0,,
50,0,0,,
51,0,0,,
52,1,0,"299,100,93,114",
53,1,0,"293,100,96,116",
54,1,0,"291,101,97,117",
55,1,0,"287,99,100,119",
56,1,0,"286,99,101,119",
57,1,0,"286,101,102,119",
58,1,0,"285,101,103,120",
59,1,0,"285,100,102,120",
60,1,0,"284,100,103,121",
61,1,0,"284,101,102,121",
62,1,0,"284,102,102,122",
63,1,0,"283,104,102,121",
64,1,0,"281,107,102,122",
65,1,0,"283,109,101,120",
66,1,0,"282,112,101,121",
67,1,0,"281,114,101,121",
68,1,0,"279,115,101,120",
69,1,0,"278,116,102,120",
70,1,0,"277,118,102,118",
71,2,0,"188,90,52,57;276,121,103,116",
72,1,0,"275,123,102,114",
73,2,0,"70,86,54,59;274,125,103,112",
74,2,0,"69,85,55,60;274,129,101,109",
75,2,0,"70,86,54,60;273,131,101,106",
76,2,0,"70,86,54,60;271,132,102,105",
77,2,0,"70,87,54,59;270,135,102,102",
78,2,0,"70,87,54,59;269,136,101,101",
79,2,0,"69,86,55,60;268,139,101,98",
80,2,0,"69,87,54,59;268,142,100,95",
81,2,0,"69,87,54,59;266,144,100,93",
82,2,0,"69,87,54,59;264,145,100,92",
83,2,0,"69,88,54,59;263,146,100,90",
84,2,0,"69,89,54,59;261,148,100,88",
85,2,0,"69,91,54,58;259,149,101,87",
86,2,0,"69,91,54,58;258,150,101,86",
87,2,0,"70,91,53,59;257,151,101,85",
88,2,0,"70,93,53,57;255,150,102,85",
89,2,0,"70,94,53,57;253,151,102,84",
90,2,0,"70,94,53,58;251,150,102,84",
91,3,0,"17,108,38,45;70,95,53,58;249,150,102,84",
92,3,0,"17,108,38,45;69,95,54,58;248,149,102,85",
93,3,0,"17,108,38,45;70,96,54,58;246,149,103,85",
94,3,0,"17,108,38,44;70,96,54,58;244,149,103,85",
95,3,0,"16,108,39,44;70,97,54,58;241,149,103,85",
96,3,0,"16,107,39,45;71,98,53,57;238,150,104,85",
97,3,0,"16,107,39,45;70,97,54,58;236,148,104,86",
98,3,1,"16,107,39,45;71,99,54,57;234,146,105,87","48,71,42,47"
99,3,1,"16,107,39,45;71,100,53,57;232,146,105,88","48,70,42,47"
100,3,1,"16,107,39,45;72,100,53,57;231,145,105,88","48,70,42,47"
101,3,1,"16,107,39,45;72,101,53,57;228,143,105,90","47,70,43,48"
102,3,1,"16,107,39,46;72,101,54,57;226,141,106,92","47,70,43,48"
103,3,1,"16,107,39,46;72,101,54,57;223,138,106,94","47,70,43,48"
104,3,1,"16,107,40,46;73,101,54,57;220,137,107,95","47,70,43,48"
105,3,1,"16,108,40,45;74,102,53,56;218,135,107,98","47,70,43,47"
106,3,1,"16,108,40,46;74,102,53,56;215,134,108,99","47,70,43,48"
107,3,1,"16,108,40,46;75,102,53,56;214,133,107,100","47,70,43,48"
108,3,1,"16,109,40,46;74,101,53,56;210,131,108,101","47,69,44,49"
109,3,1,"16,109,40,46;75,101,52,56;206,127,109,105","47,69,44,48"
110,3,1,"16,109,40,46;75,101,53,55;204,124,110,108","47,68,43,49"
111,3,1,"16,109,40,46;76,100,52,56;200,121,111,110","47,68,43,49"
112,3,1,"16,109,40,47;77,100,53,56;197,119,112,113","47,68,44,48"
113,3,1,"16,110,40,47;76,99,53,56;194,118,112,114","47,68,43,48"
114,3,1,"16,110,40,47;77,99,51,55;192,120,111,114","47,68,44,48"
115,3,1,"16,110,40,48;77,99,51,54;189,120,111,114","47,68,43,48"
116,3,1,"16,110,41,48;79,99,51,56;189,119,111,115","47,67,43,49"
117,3,1,"16,111,41,48;78,97,51,56;188,118,112,116","47,67,44,49"
118,3,2,"16,111,41,49;77,97,51,54;183,121,111,114","91,118,58,66;47,67,44,48"
119,3,1,"17,112,40,48;78,96,51,55;179,120,111,115","48,66,43,49"
120,3,1,"17,113,40,47;79,95,51,55;175,121,112,114","48,66,43,49"
121,3,1,"17,113,41,48;79,94,52,55;171,119,112,115","48,66,43,49"
122,3,1,"17,113,41,49;78,94,51,54;168,121,113,114","48,66,43,49"
123,3,1,"17,113,42,50;78,91,51,55;164,120,114,115","48,66,43,48"
124,4,1,"89,121,53,62;18,114,41,49;79,91,52,55;161,121,114,114","48,66,43,48"
125,4,1,"89,122,53,62;18,115,41,48;79,90,53,56;158,124,114,112","49,67,42,47"
126,4,1,"88,123,53,62;18,116,41,48;79,89,53,56;156,127,113,110","49,67,42,48"
127,4,1,"88,120,54,64;19,116,41,48;79,88,53,57;150,127,113,109","49,67,42,48"
128,3,1,"19,116,41,49;79,89,54,56;145,130,114,107","49,67,43,48"
129,4,1,"244,90,60,69;19,116,41,49;80,89,53,57;143,133,114,104","50,68,42,48"
130,4,1,"245,90,59,67;19,117,42,48;79,89,53,56;138,137,115,101","50,68,42,48"
131,4,1,"247,91,56,65;20,116,42,50;80,89,54,56;133,141,115,97","50,68,42,48"
132,4,1,"247,92,55,63;20,117,42,49;80,88,54,57;128,144,116,94","50,68,42,48"
133,4,1,"246,93,56,63;20,117,42,49;80,89,54,57;124,147,116,91","50,69,42,48"
134,4,1,"243,92,56,65;21,117,42,50;80,89,55,57;118,148,117,89","50,69,42,48"
135,4,1,"243,92,56,65;21,118,42,48;80,88,55,58;112,150,118,87","50,70,43,48"
136,4,1,"241,94,56,65;21,118,41,48;79,87,56,58;108,153,118,84","50,70,43,48"
137,3,1,"240,95,56,64;21,118,42,49;79,87,57,59","51,70,42,48"
138,3,1,"241,93,55,64;21,117,42,50;78,87,57,59","51,70,42,48"
139,3,1,"240,92,56,64;21,118,42,49;78,86,56,59","51,71,43,48"
140,3,1,"239,91,56,64;22,118,42,49;78,86,55,60","51,71,43,48"
141,3,1,"237,92,57,65;22,118,42,49;78,86,55,60","51,71,43,48"
142,3,1,"235,90,58,67;22,118,42,49;78,86,55,59","51,71,44,49"
143,3,1,"234,90,58,67;22,118,42,49;78,86,54,59","52,72,43,48"
144,3,1,"233,89,58,67;22,117,42,50;77,85,55,59","52,72,43,49"
145,3,2,"233,89,57,66;22,117,42,50;76,85,55,59","191,60,35,39;52,73,43,49"
146,4,2,"293,116,47,52;233,88,57,66;21,117,43,49;76,85,55,58","191,60,35,39;52,73,43,49"
147,4,2,"294,117,46,51;233,87,56,65;21,117,43,50;75,84,55,59","191,60,35,39;52,74,43,49"
148,3,2,"232,86,57,66;22,117,42,50;74,84,54,58","329,69,87,118;52,74,44,49"
149,3,2,"229,85,58,67;21,116,43,50;75,83,53,58","328,70,88,117;53,74,43,50"
150,3,2,"230,85,57,66;21,116,42,50;73,82,52,56","327,72,89,114;53,75,43,49"
151,2,1,"230,84,57,67;20,116,42,49","324,70,91,113"
152,1,1,"229,84,57,66","319,71,95,116"
153,1,1,"227,83,57,67","314,70,99,117"
154,1,1,"226,83,57,66","311,69,99,117"
155,2,1,"273,75,42,46;226,82,57,67","307,69,101,117"
156,1,1,"224,82,58,66","304,69,102,118"
157,2,1,"158,55,34,36;223,81,59,68","303,68,102,119"
158,2,1,"158,55,34,37;222,80,59,69","299,66,102,120"
159,2,1,"158,55,34,36;221,80,59,69","296,66,104,119"
160,2,1,"158,56,34,36;220,80,60,69","294,65,102,119"
161,1,1,"220,79,60,70","292,64,101,117"
162,1,1,"219,79,60,69","292,66,101,115"
163,1,1,"218,78,60,70","290,67,100,113"
164,2,1,"-2,146,122,87;218,78,60,70","288,66,98,111"
165,2,1,"-2,142,121,90;217,78,60,70","285,65,99,111"
166,2,1,"-2,139,120,93;217,78,59,70","283,66,99,111"
167,2,1,"-3,138,118,94;217,78,59,69","282,65,99,111"
168,2,1,"-2,136,118,96;216,78,59,69","280,65,99,111"
169,2,1,"-2,134,117,98;216,78,59,69","277,64,99,110"
170,2,1,"-2,132,115,100;215,77,59,69","277,65,99,110"
